ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,TestStat,ErrorCode,TrueHR
1,120,1,SUCCESS,1,0,-3.5296241847937,0,0.673321958931819
1,121,1,SUCCESS,0,0,-1.94890950844373,0,0.803187987913426
1,122,1,SUCCESS,0,0,-1.52825071496553,0,0.990702061199953
1,123,1,SUCCESS,1,0,-7.00020890302484,0,0.488118526225532
1,124,1,SUCCESS,1,0,-2.4943799402055,0,0.713907330967198
1,125,1,SUCCESS,0,0,-1.51504619837857,0,0.796654995556643
1,126,1,SUCCESS,0,0,-1.68378441449174,0,0.800128199004116
1,127,1,SUCCESS,1,0,-4.72473523757396,0,0.673042410103855
1,128,1,SUCCESS,0,0,-1.4163426464439,0,0.808210355409524
1,129,1,SUCCESS,1,0,-5.09387990835196,0,0.691533556446895
1,130,1,SUCCESS,1,0,-2.22547707431892,0,0.802221419297301
1,131,1,SUCCESS,1,0,-2.5275586220708,0,0.798194916081483
1,132,1,SUCCESS,0,0,-0.914681303766377,0,0.869049342360246
1,133,1,SUCCESS,1,0,-4.05352065206443,0,0.745616504644754
1,134,1,SUCCESS,0,0,-1.25637076492792,0,0.869994950620297
1,135,1,SUCCESS,1,0,-2.43925579270273,0,0.782894768644555
1,136,1,SUCCESS,1,0,-2.87792276412175,0,0.849641449514361
1,137,1,SUCCESS,1,0,-2.57916910378552,0,0.815533309710233
1,138,1,SUCCESS,1,0,-2.45033134644432,0,0.816023003102743
1,139,1,SUCCESS,1,0,-3.78531762860197,0,0.710386389165971
1,140,1,SUCCESS,1,0,-2.3058982110927,0,0.811144712710434
1,141,1,SUCCESS,0,0,-1.07901924082223,0,0.71595433190045
1,142,1,SUCCESS,0,0,1.15817635378291,0,0.826362286199664
1,143,1,SUCCESS,0,0,-0.847679768147648,0,0.817051285068265
1,144,1,SUCCESS,1,0,-2.52750107516149,0,0.868448818412227
1,145,1,SUCCESS,1,0,-3.72904281969996,0,0.749578661025685
1,146,1,SUCCESS,1,0,-4.60889201869286,0,0.67348356172254
1,147,1,SUCCESS,0,0,-1.82714406765766,0,0.789340412021475
1,148,1,SUCCESS,1,0,-3.67783504838307,0,0.802721984959981
1,149,1,SUCCESS,0,0,-0.391747727364944,0,0.844049492358346
1,150,1,SUCCESS,0,0,-0.118335469152175,0,0.801491958790257
1,151,1,SUCCESS,1,0,-3.93037808727944,0,0.71446718118798
1,152,1,SUCCESS,1,0,-2.80146372884807,0,0.724524704236198
1,153,1,SUCCESS,1,0,-3.96764801914608,0,0.797955223507057
1,154,1,SUCCESS,0,0,-1.07371848728558,0,0.913601194437535
1,155,1,SUCCESS,0,0,-1.01867537812612,0,0.762300502688003
1,156,1,SUCCESS,0,0,0.185273172955855,0,0.88957329911623
1,157,1,SUCCESS,1,0,-3.51160233021171,0,0.633239719818513
1,158,1,SUCCESS,1,0,-1.99271713457074,0,0.818701878815994
1,159,1,SUCCESS,0,0,-1.5599000521666,0,0.840833504484406
1,160,1,SUCCESS,1,0,-2.06702163338515,0,0.818298150009672
1,161,1,SUCCESS,1,0,-3.39223537630695,0,0.599084347158201
1,162,1,SUCCESS,1,0,-2.26584842723945,0,0.76749353475437
1,163,1,SUCCESS,1,0,-2.91762837152293,0,0.64967857099133
1,164,1,SUCCESS,1,0,-3.44461769932826,0,0.726630615263799
1,165,1,SUCCESS,0,0,-1.24144328781252,0,0.77335882267236
1,166,1,SUCCESS,1,0,-3.2844176533519,0,0.733640017877021
