ModelID,SimIndex,AnalysisIndex,Status,Decision,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
f7afde25-855c-46c6-8981-af6699895f69,18574,1,INSUFFICIENT_INFO,Efficacy,0,0,0.8888,0.661838730554007,-0.0325343127109984,0.0451249979637345,0.936369381910485,0.0451249979637345,-0.0325343141791092,0.936369424164153,,
f7afde25-855c-46c6-8981-af6699895f69,18575,1,INSUFFICIENT_INFO,Futility,0,0,0.06766,0.00625688041131791,-0.0891426831519833,0.0451249979637345,0.0599342725142606,0.0451249979637345,-0.0891426871745469,0.0599342752187947,,
f7afde25-855c-46c6-8981-af6699895f69,18576,1,SUCCESS,Efficacy,0,0,0.8064,1.19062124504629,0.261019287491749,0.0451249979637345,1.1187732067508,0.0451249979637345,0.261019299270244,1.11877325723544,,
f7afde25-855c-46c6-8981-af6699895f69,18577,1,SUCCESS,Futility,0,0,0.7505,0.735287733752645,-0.170146243895281,0.0451249979637345,0.631898930437221,0.0451249979637345,-0.17014625157313,0.63189895895166,,
f7afde25-855c-46c6-8981-af6699895f69,18578,1,SUCCESS,Futility,0,0,0.0367,0.270862692806324,0.323925666831315,0.0451249979637345,0.389907517186094,0.0451249979637345,0.32392568144846,0.389907534780671,,
f7afde25-855c-46c6-8981-af6699895f69,18579,1,INSUFFICIENT_INFO,Futility,0,0,0.4641,0.609047384618426,0.127870390329584,0.0451249979637345,0.697349055587711,0.0451249979637345,0.127870396099735,0.697349087055587,,
f7afde25-855c-46c6-8981-af6699895f69,18580,1,SUCCESS,Futility,0,0,0.01626,0.313928932268859,0.417799843405978,0.0451249979637345,0.379389547088858,0.0451249979637345,0.417799862259196,0.379389564208811,,
f7afde25-855c-46c6-8981-af6699895f69,18581,1,INSUFFICIENT_INFO,Futility,0,0,0.16598,0.138008835280795,-0.180417114501692,0.0451249979637345,0.12823519213679,0.0451249979637345,-0.180417122643015,0.128235197923403,,
f7afde25-855c-46c6-8981-af6699895f69,18582,1,SUCCESS,Futility,0,0,0.49494,0.53336139029736,-0.0145987892270795,0.0451249979637345,0.581826408180709,0.0451249979637345,-0.0145987898858498,0.581826434435626,,
f7afde25-855c-46c6-8981-af6699895f69,18583,1,INSUFFICIENT_INFO,Futility,0,0,0.05166,0.476243958586345,0.114971599343973,0.0451249979637345,0.224897798855481,0.0451249979637345,0.114971604532067,0.224897809003994,,
f7afde25-855c-46c6-8981-af6699895f69,18584,1,SUCCESS,Futility,0,0,0.00954,0.057847151084635,-0.121996377154093,0.0451249979637345,-0.230572896274529,0.0451249979637345,-0.12199638265918,-0.230572906679131,,
f7afde25-855c-46c6-8981-af6699895f69,18585,1,SUCCESS,Futility,0,0,0.05542,-0.00714831700590367,-0.0677794408726642,0.0451249979637345,0.0535638912275188,0.0451249979637345,-0.0677794439312114,0.0535638936445894,,
f7afde25-855c-46c6-8981-af6699895f69,18586,1,INSUFFICIENT_INFO,Efficacy,0,0,0.99682,0.823472628002334,-0.384270860490219,0.0451249979637345,1.03359300268404,0.0451249979637345,-0.384270877830442,1.03359304932493,,
f7afde25-855c-46c6-8981-af6699895f69,18587,1,SUCCESS,Futility,0,0,0.34936,0.317118329046454,-0.26512879684379,0.0451249979637345,0.217868527295497,0.0451249979637345,-0.265128808807727,0.217868537126814,,
f7afde25-855c-46c6-8981-af6699895f69,18588,1,INSUFFICIENT_INFO,Efficacy,0,0,0.99942,1.48001753575584,-0.0335694280815112,0.0451249979637345,1.52751211988419,0.0451249979637345,-0.0335694295963316,1.52751218881318,,
f7afde25-855c-46c6-8981-af6699895f69,18589,1,SUCCESS,Futility,0,0,0.21892,0.0571063287042545,-0.0396160586574231,0.0451249979637345,0.327813162149192,0.0451249979637345,-0.0396160604450978,0.327813176941761,,
f7afde25-855c-46c6-8981-af6699895f69,18590,1,SUCCESS,Futility,0,0,0.73502,0.510339852325379,-0.0862446412470028,0.0451249979637345,0.699861556492849,0.0451249979637345,-0.0862446451387922,0.699861588074101,,
f7afde25-855c-46c6-8981-af6699895f69,18591,1,SUCCESS,Efficacy,0,0,0.9824,1.01572613177894,-0.171841474026042,0.0451249979637345,1.05453390311564,0.0451249979637345,-0.171841481780389,1.05453395070148,,
f7afde25-855c-46c6-8981-af6699895f69,18592,1,SUCCESS,Efficacy,0,0,0.86128,0.868623875947457,-0.060831788642998,0.0451249979637345,0.866689993725543,0.0451249979637345,-0.0608317913880324,0.866690032834929,,
f7afde25-855c-46c6-8981-af6699895f69,18593,1,INSUFFICIENT_INFO,Futility,0,0,0.71046,0.901227851868508,-0.0305363933942541,0.0451249979637345,0.735040747419527,0.0451249979637345,-0.0305363947722088,0.735040780588241,,
f7afde25-855c-46c6-8981-af6699895f69,18594,1,SUCCESS,Efficacy,0,0,0.99678,1.00911608293997,-0.294219068225681,0.0451249979637345,1.12252326642152,0.0451249979637345,-0.294219081502317,1.12252331707538,,
f7afde25-855c-46c6-8981-af6699895f69,18595,1,SUCCESS,Futility,0,0,0.00014,-0.00226594619950181,0.1450576039136,0.0451249979637345,-0.355848073041534,0.0451249979637345,0.145057610459325,-0.355848089099179,,
f7afde25-855c-46c6-8981-af6699895f69,18596,1,SUCCESS,Futility,0,0,0.0297,-0.0137919505739504,-0.0243511796547023,0.0451249979637345,0.0125972621929497,0.0451249979637345,-0.0243511807535492,0.0125972627614011,,
f7afde25-855c-46c6-8981-af6699895f69,18597,1,INSUFFICIENT_INFO,Futility,0,0,0.05204,0.421592761463244,0.131021497648608,0.0451249979637345,0.243633154306467,0.0451249979637345,0.131021503560953,0.243633165300413,,
f7afde25-855c-46c6-8981-af6699895f69,18598,1,SUCCESS,Futility,0,0,0.36162,0.680948689347903,0.215489676483586,0.0451249979637345,0.708058612249662,0.0451249979637345,0.215489686207558,0.708058644200807,,
f7afde25-855c-46c6-8981-af6699895f69,18599,1,INSUFFICIENT_INFO,Efficacy,0,0,0.99478,0.946859293526583,-0.282165763228146,0.0451249979637345,1.07813476076849,0.0451249979637345,-0.282165775960876,1.07813480941932,,
f7afde25-855c-46c6-8981-af6699895f69,18600,1,SUCCESS,Futility,0,0,0.0514,-0.0126135855512532,-0.143654447430989,0.0451249979637345,-0.0250848307320862,0.0451249979637345,-0.143654453913396,-0.0250848318640392,,
f7afde25-855c-46c6-8981-af6699895f69,18601,1,SUCCESS,Futility,0,0,0.03884,0.1220000437485,0.114943726687838,0.0451249979637345,0.18287109710583,0.0451249979637345,0.114943731874674,0.182871105357888,,
f7afde25-855c-46c6-8981-af6699895f69,18602,1,INSUFFICIENT_INFO,Futility,0,0,0.73502,1.1454944192545,0.262560255221142,0.0451249979637345,1.05313731133878,0.0451249979637345,0.262560267069174,1.0531373588616,,
