ScenarioID,SimIndex,LookIndex,Status,BdryStopCode,RDGUserErrorCode,ErrorCode,PostProb,dTrueDelta,dCtrlPostMean,dCtrlPostVar,dExpPostMean,dExpPostVar,dObsMeanCtrl,dObsMeanExp,dSimMeanCtrl,dSimMeanExp
1,19897,1,SUCCESS,2,0,0,0.89372,0.98118,0.112280179210355,0.0180499996741975,0.948987416579964,0.0180499996741975,0.112280181237012,0.948987433709187,,
1,19898,1,SUCCESS,3,0,0,0.12448,0.49204,0.0724238619209723,0.0180499996741975,0.45297073073968,0.0180499996741975,0.0724238632282231,0.452970738915802,,
1,19899,1,SUCCESS,3,0,0,0.4373,0.60681,-0.0137644695109397,0.0180499996741975,0.558163171984514,0.0180499996741975,-0.0137644697593884,0.558163182059359,,
1,19900,1,SUCCESS,2,0,0,0.99998,1.20294,-0.00750244036846413,0.0180499996741975,1.4062401658325,0.0180499996741975,-0.00750244050388318,1.40624019121513,,
1,19901,1,SUCCESS,2,0,0,0.99984,1.15257,-0.100355012525151,0.0180499996741975,1.2128883942173,0.0180499996741975,-0.100355014336559,1.21288841610994,,
1,19902,1,SUCCESS,2,0,0,0.54324,0.79603,0.0594071321302676,0.0180499996741975,0.680225888010851,0.0180499996741975,0.0594071332025664,0.680225900288928,,
1,19903,1,SUCCESS,2,0,0,0.92404,0.98875,0.0190617843279072,0.0180499996741975,0.891392458717938,0.0180499996741975,0.0190617846719724,0.891392474807572,,
1,19904,1,SUCCESS,2,0,0,0.948,1.06408,0.177794003777061,0.0180499996741975,1.08357594975271,0.0180499996741975,0.177794006986242,1.08357596931126,,
1,19905,1,SUCCESS,2,0,0,0.99674,1.22194,0.338973082179736,0.0180499996741975,1.4530450361795,0.0180499996741975,0.3389730882982,1.45304506240696,,
1,19906,1,SUCCESS,2,0,0,0.90978,0.88387,0.0448514818131927,0.0180499996741975,0.900630346526523,0.0180499996741975,0.044851482622762,0.900630362782901,,
1,19907,1,SUCCESS,2,0,0,0.9987,1.10505,-0.0276914074298354,0.0180499996741975,1.15050326223556,0.0180499996741975,-0.0276914079296653,1.15050328300214,,
1,19908,1,SUCCESS,2,0,0,0.63702,0.82809,0.108996801783883,0.0180499996741975,0.775505652554329,0.0180499996741975,0.108996803751275,0.775505666552206,,
1,19909,1,SUCCESS,2,0,0,0.99816,1.27042,0.119809828836004,0.0180499996741975,1.26612623245574,0.0180499996741975,0.119809830998572,1.26612625530932,,
1,19910,1,SUCCESS,2,0,0,0.97364,0.9375,-0.0537712460648257,0.0180499996741975,0.915338995219647,0.0180499996741975,-0.0537712470353967,0.915339011741516,,
1,19911,1,SUCCESS,2,0,0,0.91662,0.91532,0.0139430103887097,0.0180499996741975,0.876300444843068,0.0180499996741975,0.013943010640381,0.876300460660291,,
1,19912,1,SUCCESS,2,0,0,0.99732,0.87607,-0.0934841475721485,0.0180499996741975,1.02993027439313,0.0180499996741975,-0.0934841492595374,1.02993029298337,,
1,19913,1,SUCCESS,2,0,0,0.60484,1.10154,0.260099953030033,0.0180499996741975,0.909570290914271,0.0180499996741975,0.260099957724837,0.909570307332015,,
1,19914,1,SUCCESS,2,0,0,0.9998,1.13205,-0.0120537598119458,0.0180499996741975,1.26328093736693,0.0180499996741975,-0.0120537600295161,1.26328096016915,,
